site_location,site_prefix,rollup_label,component_type
PointLoma,PL,Omicron,variant
PointLoma,PL,Delta,variant
PointLoma,PL,Alpha,variant
PointLoma,PL,BF.7.X,lineage
PointLoma,PL,BA.1,lineage
PointLoma,PL,BA.1.1.X,lineage
PointLoma,PL,BA.2.X,lineage
PointLoma,PL,BA.2.12.X,lineage
PointLoma,PL,BA.4.X,lineage
PointLoma,PL,BA.4.6,lineage
PointLoma,PL,BA.5.X,lineage
PointLoma,PL,B.1.1.529,lineage
PointLoma,PL,BA.2.75,lineage
PointLoma,PL,AY.113,lineage
PointLoma,PL,AY.100,lineage
PointLoma,PL,AY.20,lineage
PointLoma,PL,AY.25,lineage
PointLoma,PL,AY.3,lineage
PointLoma,PL,AY.44,lineage
PointLoma,PL,AY.119,lineage
PointLoma,PL,AY.3.1,lineage
PointLoma,PL,AY.103,lineage
PointLoma,PL,AY.46.4,lineage
PointLoma,PL,AY.25.1,lineage
PointLoma,PL,AY.116,lineage
PointLoma,PL,AY.43.4,lineage
Encina,ENC,Omicron,variant
Encina,ENC,Delta,variant
Encina,ENC,Alpha,variant
Encina,ENC,BF.7.X,lineage
Encina,ENC,BA.1,lineage
Encina,ENC,BA.1.1.X,lineage
Encina,ENC,BA.2.X,lineage
Encina,ENC,BA.2.12.X,lineage
Encina,ENC,BA.4.X,lineage
Encina,ENC,BA.4.6,lineage
Encina,ENC,BA.5.X,lineage
Encina,ENC,BA.2.75,lineage
SouthBay,SB,Omicron,variant
SouthBay,SB,Delta,variant
SouthBay,SB,Alpha,variant
SouthBay,SB,BF.7.X,lineage
SouthBay,SB,BA.1,lineage
SouthBay,SB,BA.1.1.X,lineage
SouthBay,SB,BA.2.X,lineage
SouthBay,SB,BA.2.12.X,lineage
SouthBay,SB,BA.4.X,lineage
SouthBay,SB,BA.4.6,lineage
SouthBay,SB,BA.5.X,lineage
SouthBay,SB,BA.2.75,lineage
